source,target,weight
378661,84005,1
378661,378663,2
378661,350603,1
378661,437859,3
378661,438006,3
378661,84004,1
378661,378656,2
378661,350691,2
378661,84639,1
378661,438002,1
378661,378649,1
378661,419630,1
378661,84010,1
378661,378652,3
378661,434764,2
378661,378658,1
378661,317891,2
378661,378183,1
378661,330501,1
378661,330499,3
378661,364801,1
378661,378647,1
378661,378648,1
378661,378651,1
378661,378655,1
378661,378657,1
378661,378664,1
378661,378667,1
378661,437683,1
378661,437689,1
378661,437693,2
378661,437687,2
378661,84607,1
378661,378122,1
378661,437691,1
378661,437792,1
84636,350608,6
84636,306362,1
84636,419855,5
84636,350660,2
84636,350617,1
84636,378659,2
84636,378105,1
84636,378162,1
84636,332240,2
84636,350700,1
84636,378077,1
84636,350735,1
84636,378050,1
84636,378259,1
84636,306329,1
84636,350628,1
84636,380640,2
84636,351230,1
84636,431637,1
84636,306374,5
84636,350664,1
84636,350827,5
84636,350604,1
84636,306370,1
84636,380632,1
84636,350619,1
84636,350755,1
84636,350615,1
84636,350655,4
84636,348640,6
84636,378665,2
84636,350778,1
84636,378663,1
84636,350603,1
84636,437859,2
84636,438006,2
84636,84639,2
84636,378652,1
84636,350729,1
84636,84634,1
84636,350823,1
84636,350690,1
84636,350582,1
84636,381432,1
84636,378658,1
84636,350662,1
84636,378071,2
84636,306366,1
84636,350672,1
84636,84631,1
350608,306362,1
350608,419855,5
350608,350660,7
350608,364798,1
350608,350617,1
350608,378659,1
350608,378105,2
350608,378162,2
350608,378023,1
350608,332240,3
350608,378077,1
350608,350706,1
350608,350735,2
350608,378050,1
350608,378259,1
350608,306329,1
350608,350628,1
350608,380640,2
350608,351230,1
350608,431637,1
350608,306374,2
350608,350664,1
350608,350827,8
350608,350604,1
350608,306370,1
350608,380632,1
350608,350619,2
350608,350755,1
350608,350615,1
350608,350655,5
350608,348640,7
350608,378665,1
350608,350778,1
350608,426744,1
350608,84606,3
350608,378663,2
350608,350603,1
350608,437859,1
350608,438006,3
350608,84639,4
350608,350681,1
350608,350729,2
350608,350693,2
350608,84608,3
350608,84630,3
350608,84634,3
350608,350823,3
350608,350690,1
350608,84601,2
350608,84605,2
350608,84604,1
350608,378205,1
350608,378267,1
350608,378200,1
350608,381432,1
350608,378658,1
350608,350662,1
350608,378071,1
350608,306366,1
350608,350672,1
350608,84631,1
350608,437687,1
350608,378149,1
350608,434887,1
306362,306251,1
306362,350628,2
306362,350604,1
306362,350619,1
306362,350764,1
306362,350755,1
306362,350615,1
306362,306226,2
306362,378035,1
306362,369619,1
306362,350634,1
306362,378056,2
306362,306366,1
306362,350672,1
306362,378061,1
306362,350733,1
306362,350678,1
306362,306331,1
306362,350677,1
419855,350660,4
419855,378659,1
419855,378105,1
419855,332240,1
419855,350700,1
419855,350706,1
419855,350735,1
419855,378050,2
419855,378259,1
419855,306329,1
419855,380640,2
419855,351230,1
419855,431637,1
419855,306374,2
419855,350664,1
419855,350827,4
419855,350604,2
419855,306370,1
419855,380632,1
419855,350619,3
419855,350755,1
419855,350615,1
419855,350655,3
419855,348640,4
419855,378665,1
419855,350778,1
419855,378663,1
419855,350603,1
419855,437859,1
419855,438006,1
419855,84639,2
419855,350729,1
419855,84634,1
419855,350823,1
419855,350690,1
419855,378205,1
419855,378267,1
419855,306401,1
419855,350582,1
419855,381432,1
419855,378658,1
419855,350662,1
419855,378071,2
419855,306366,1
419855,350672,1
419855,421110,1
419855,378070,1
350660,378659,2
350660,378105,1
350660,372096,1
350660,332240,3
350660,350587,1
350660,350700,1
350660,378077,1
350660,350735,1
350660,378050,1
350660,378259,1
350660,306329,1
350660,380640,2
350660,351230,1
350660,431637,1
350660,306374,2
350660,350664,1
350660,350827,7
350660,350604,1
350660,306370,1
350660,380632,1
350660,350619,1
350660,350755,1
350660,350615,1
350660,350655,5
350660,348640,5
350660,378665,1
350660,350778,1
350660,84606,3
350660,378663,1
350660,350603,1
350660,437859,1
350660,438006,1
350660,84639,4
350660,350729,2
350660,350693,2
350660,84608,3
350660,84630,3
350660,84634,3
350660,350823,3
350660,350690,1
350660,84601,2
350660,84605,2
350660,84604,1
350660,381432,1
350660,378658,1
350660,350662,1
350660,378071,1
350660,306366,1
350660,350672,1
350736,350735,1
350736,350664,1
350736,350604,2
350736,350619,1
350736,350764,1
350736,306366,1
350736,350672,1
350736,350748,1
350736,350766,3
306251,365887,1
306251,350628,5
306251,378063,2
306251,380636,1
306251,380640,1
306251,351230,1
306251,365888,1
306251,306270,1
306251,306374,1
306251,350619,1
306251,350764,3
306251,350755,1
306251,350615,2
306251,306226,2
306251,378035,3
306251,369619,1
306251,378042,1
306251,350634,2
306251,378056,2
306251,378144,1
306251,306366,2
306251,350672,3
306251,378040,1
306251,378061,1
306251,350733,1
306251,350678,1
306251,306331,1
306251,350677,1
364798,332240,1
364798,373300,1
364798,350676,1
350617,378659,5
350617,378105,1
350617,378162,4
350617,378023,1
350617,332240,6
350617,350587,1
350617,350700,1
350617,378077,2
350617,114888,1
350617,350655,2
350617,348640,1
350617,378665,1
350617,426744,1
350617,84005,1
350617,350603,2
350617,437859,4
350617,438006,2
350617,84004,1
350617,378656,1
350617,350691,3
350617,84639,1
350617,378649,1
350617,419630,2
350617,84010,3
350617,378652,3
350617,434764,2
350617,419629,2
350617,84011,1
350617,350681,2
350617,378200,2
350617,438001,1
350617,330501,1
350617,330499,1
350617,364801,1
350617,84631,2
350617,378648,1
350617,437683,1
350617,437689,1
350617,437693,1
350617,437687,2
350617,378149,1
350617,84607,1
350617,378122,1
350617,437691,1
350617,437686,1
378659,378105,1
378659,378162,3
378659,419633,3
378659,378456,1
378659,378023,2
378659,332240,5
378659,350587,1
378659,350700,1
378659,393795,1
378659,378077,5
378659,350735,1
378659,378050,1
378659,378259,1
378659,306329,1
378659,380640,1
378659,351230,1
378659,365888,1
378659,306374,1
378659,350664,1
378659,350827,2
378659,350604,1
378659,306370,1
378659,380632,1
378659,350619,1
378659,350755,1
378659,350615,1
378659,350655,3
378659,348640,2
378659,378082,3
378659,306226,1
378659,378665,6
378659,350778,1
378659,426744,3
378659,84005,2
378659,378663,2
378659,350603,3
378659,437859,7
378659,438006,5
378659,84004,1
378659,378656,2
378659,350691,3
378659,84639,1
378659,438002,2
378659,378649,3
378659,419630,2
378659,84010,4
378659,378652,3
378659,434764,2
378659,419629,2
378659,84011,1
378659,350681,1
378659,350729,1
378659,350823,1
378659,438001,1
378659,381432,1
378659,378658,2
378659,350662,2
378659,378071,1
378659,306366,1
378659,350672,1
378659,317891,2
378659,378183,1
378659,330499,3
378659,364800,1
378659,378647,1
378659,378648,2
378659,378651,1
378659,378655,2
378659,378657,1
378659,378664,2
378659,378667,1
378659,393794,1
378659,378275,1
378659,421819,1
378659,393839,1
378659,394797,1
378659,393846,1
378659,437683,1
378659,393847,1
378659,437689,1
378659,426742,1
378659,437693,3
378659,437687,2
378659,437792,2
378659,426740,1
378105,378162,2
378105,419633,1
378105,332240,2
378105,378077,1
378105,350735,1
378105,378050,1
378105,378259,1
378105,306329,1
378105,380640,1
378105,306374,1
378105,350664,1
378105,350827,1
378105,350604,1
378105,306370,1
378105,380632,1
378105,350619,1
378105,350755,1
378105,350615,1
378105,350655,1
378105,348640,1
378105,378082,1
378105,378665,1
378105,350778,1
378105,426744,3
378105,378663,3
378105,350603,1
378105,437859,1
378105,438006,6
378105,350681,1
378105,350729,1
378105,350823,1
378105,378200,1
378105,381432,1
378105,378658,1
378105,350662,1
378105,378071,1
378105,306366,1
378105,350672,1
378105,84631,1
378105,437687,1
378105,378149,1
378162,332240,5
378162,350587,5
378162,350700,1
378162,378077,3
378162,350655,1
378162,378082,1
378162,378665,3
378162,426744,1
378162,84606,2
378162,84005,2
378162,84008,1
378162,378663,5
378162,350603,2
378162,437859,3
378162,438006,5
378162,84004,2
378162,378656,3
378162,350691,3
378162,84639,1
378162,378649,1
378162,419630,1
378162,84010,1
378162,378652,4
378162,434764,2
378162,350681,2
378162,378200,2
378162,378658,1
378162,330499,1
378162,84631,3
378162,378647,1
378162,378648,1
378162,378651,1
378162,378655,1
378162,378657,1
378162,378664,1
378162,378667,1
378162,437687,1
378162,378149,2
378162,434887,2
378162,350590,1
378162,438000,2
378162,378270,2
419633,378456,1
419633,378023,1
419633,393795,1
419633,378077,1
419633,350706,1
419633,350619,1
419633,378082,1
419633,378665,1
419633,426744,2
419633,84005,1
419633,378663,1
419633,437859,1
419633,438006,2
419633,438002,1
419633,378649,1
419633,84010,1
419633,438001,1
419633,381432,1
419633,350662,1
419633,378648,1
419633,378655,1
419633,378664,1
419633,393794,1
419633,378275,1
419633,421819,1
419633,393839,1
419633,394797,1
419633,393846,1
419633,437683,1
419633,393847,1
419633,437689,1
419633,426742,1
419633,437693,1
419633,437687,1
378456,332240,1
378456,350603,1
378456,419630,1
378456,419629,1
378456,419632,1
378023,393795,1
378023,378077,1
378023,350735,1
378023,378082,1
378023,378665,1
378023,426744,2
378023,84005,1
378023,437859,1
378023,438006,1
378023,438002,1
378023,378649,1
378023,84010,1
378023,438001,1
378023,350662,1
378023,378648,1
378023,378655,1
378023,378664,1
378023,393794,1
378023,378275,1
378023,421819,1
378023,393839,1
378023,394797,1
378023,393846,1
378023,437683,1
378023,393847,1
378023,437689,1
378023,426742,1
378023,437693,1
378023,437687,1
372096,332240,2
372096,350587,2
372096,350700,1
372096,84606,1
372096,437859,1
372096,350582,1
372096,350663,1
332240,350587,4
332240,350700,2
332240,378077,2
332240,350735,1
332240,378050,1
332240,378259,1
332240,306329,1
